­¶½X,¤º®e,
274,"""In the second stage of the decision-making process, an opportunity is provided for Federal officers and agencies, State  governors, other instrumentalities of government, and interested persons to comment on the recommendation and report of the  Federal Power Commission. This device is seen as a means of equipping the President with a full range of information to enable  him to arrive at a determination as to whether to submit a decision to the Congress designating a system for approval and, if so,  to make an intelligent selection of the system to be designated."" (H.R.Rep. No. 94-1658, 2d Sess. (1976) reprinted in 1976 U.S.  Code Cong. & Admin. News, pp. 6643, 6644.)  Section 719l provides that nothing in the act or any action taken thereunder shall imply an amendment to or exemption from  any provision of the antitrust laws.  For a description of this and the competing system see House of Representatives Report No. 94-1658, second Session (1976)  reprinted in 1976 United States Code Congressional and Administrative News, page 6643.",
275,"There was a reservation expressed should wellhead prices of natural gas be decontrolled.   We do not, of course, speculate as to what our own decision might be should natural gas be significantly deregulated.   24t appears that item is a recommendation of the Attorney General based upon consideration of the Alaska advance  payments program prior to the FPC's termination thereof.",
277,"Uneedus v. California Shoppers, Inc. Reporter 86 Cal. App. 3d 932 *; 150 Cal. Rptr. 596 **; 1978 Cal. App. LEXIS 2141 ***; 1979-2 Trade Cas. (CCH) P62,845 Core Terms LexisNexisÂ® Headnotes",
279,Headnotes/Summary,
280,Unfair Competition Â§ 3?”Unfair Practices Act?”Treble Damages.  Monopolies and Restraints of Trade  Â§ 1 ?”Robinson-Patman Act and Clayton Act?”Treble Damages.  Unfair Competition Â§ 3?”Unfair Practices Act?”Purpose.,
281,Monopolies and Restraints of Trade Â§ 6?”Under Cartwright Act?”Federal Law as Aid in Interpretation.  Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individuals?”Treble Damages.  Appellate Review Â§ 54?”Presenting and Preserving Questions in Trial Court?”Necessity for Motion for New Trial??Damages?”Interpretation of Statute.  Opinion,
282,"All statutory references hereafter will be to the Business and Professions Code unless otherwise specified. HN1 [ ]  Section 17043  reads as follows: ""It is unlawful for any person engaged in business within this State to sell any article or product  at less than the cost thereof to such vendor, or to give away any article or product, for the purpose of injuring competitors or  destroying competition."" HN2 [ ]  Section 17071  reads as follows: ""In all actions brought under this chapter proof of one or more acts of selling or giving  away any article or product below cost or at discriminatory prices, together with proof of the injurious effect of such acts, is  presumptive evidence of the purpose or intent to injure competitors or destroy competition.""",
283,"15 United States Code section 1 et seq. 15 United States Code sections 12 ,  13 , 14-21, 22-27 (1973). Section 16750  reads in relevant part: ""(a) Any person who is injured in his business or property by reason of anything forbidden  or declared unlawful by this chapter, may sue therefor in any court having jurisdiction in the county where the defendant resides  or is found, or any agent resides or is found, or where service may be obtained, without respect to the amount in controversy,  and  to recover three times the damages sustained by him , and shall be awarded a reasonable attorneys fees together with the  costs of the suit."" (Italics added.) The Cartwright Act encompasses sections 16600-16804. 15 United States Code section 13  ( Â§ 1  of the Robinson-Patman Act which amended Â§ 2 of the Clayton Act) consists of six  subdivisions, (a) through (f).  Subdivision (a) prohibits direct and indirect discrimination in price having specified effects on  competition.  Certain affirmative defenses are also permitted, notably cost justification of price differences.  (See, Hills, Antitrust  Adviser (2d ed. 1978) Â§ 4.2, p. 293.)  Section 13  reads in part as follows: ""(a) It shall be unlawful for any person engaged in commerce in the course of such commerce, either directly or indirectly, to  discriminate in price between different purchasers of commodities of like grade and quality, where either or any of the purchases  involved in such discrimination are in commerce, where such commodities are sold for use, consumption, or resale within the  United States or any Territory thereof or the District of Columbia or any insular possession or other place under the jurisdiction of  the United States, and where the effect of such discrimination may be substantially to lessen competition or tend to create a  monopoly in any line of commerce, or to injure, destroy, or prevent competition with any person who either grants or knowingly",
284,"receives the benefit of such discrimination, or with customers of either of them:  Provided , That nothing herein contained shall  prevent differentials which make only due allowance for differences in the cost of manufacture, sale, or delivery resulting from  the differing methods or quantities in which such commodities are to such purchasers sold or delivered: . . .  And provided further ,  That nothing herein contained shall prevent persons engaged in selling goods, wares, or merchandise in commerce from  selecting their own customers in bona fide transactions and not in restraint of trade:  And provided further , That nothing herein  contained shall prevent price changes from time to time where in response to changing conditions affecting the market for or the  marketability of the goods concerned, such as but not limited to actual or imminent deterioration of perishable goods,  obsolescence of seasonal goods, distress sales under court process, or sales in good faith in discontinuance of business in the  goods concerned."" Section 17040 addresses the concept of locality discrimination: ""It is unlawful for any person engaged in the production, manufacture, distribution or sale of any article or product of general use  or consumption, with intent to destroy the competition of any regular established dealer in such article or product, or to prevent  the competition of any person who in good faith, intends and attempts to become such dealer, to create locality discriminations. ""Nothing in this section prohibits the meeting in good faith of a competitive price."" The ""smallest geographical unit [section 17040] envisages is the individual store or outlet, not the individual purchaser  regardless of location."" (  Harris v. Capitol Records etc. Corp., 64 Cal.2d 454, 460 [50 Cal.Rptr. 539, 413 P.2d 139] .) Before the United States Supreme Court's decision in  Nashville Milk Co . a conflict existed in the federal circuits concerning  whether section 3 of the Robinson-Patman Act ( 15 U.S.C. Â§ 13a ) was an  antitrust law  for purposes of recovering treble  damages. The Third Circuit viewed section 3 as an  antitrust law . (See, e.g.,  Dean Oil Company v. American Oil Company,  (D.C.N.J. 1956) 147 F.Supp. 414 , affd.  per curiam  (3d Cir.)  254 F.2d 816 , cert. den.   358 U.S. 835 [3 L.Ed.2d 72, 79 S.Ct. 58] .)  The Seventh Circuit viewed section 3 as not within the treble damage ambit.  (See, e.g.,  Mackey v. Sears Roebuck & Co. (7th  Cir. 1956) 237 F.2d 869 .) Section 13a  (Â§ 3 of the Robinson-Patman Act) provides: ""It shall be unlawful for any person engaged in commerce, in the course of such commerce, to be a party to, or assist in, any  transaction of sale, or contract to sell, which discriminates to his knowledge against competitors of the purchaser, in that, any  discount, rebate, allowance, or advertising service charge is granted to the purchaser over and above any discount, rebate,  allowance, or advertising service charge available at the time of such transaction to said competitors in respect of a sale of  goods of like grade, quality, and quantity; to sell, or contract to sell, goods in any part of the United States at prices lower than  those exacted by said person elsewhere in the United States for the purpose of destroying competition, or eliminating a  competitor in such part of the United States; or, to sell, or contract to sell, goods at unreasonably low prices for the purpose of  destroying competition or eliminating a competitor."" "" Any person violating any of the provisions of this section, shall, upon conviction thereof, be fined not more than $ 5,000 or  imprisoned not more than one year, or both ."" ( 15 U.S.C. Â§ 13a ; italics added.",
285,"15 United States Code section 26  (Â§ 16 of the Clayton Act) grants a private cause of action for injunctive relief ""against  threatened loss or damage by a violation of the antitrust laws."" For purposes of clarity, it is important to understand that  15 United States Code section 13 , and  15 United States Code section  13a , are two separate and independent sections of the Robinson-Patman Act. As noted by the United States Supreme Court in  Nashville Milk Co .,  section 13a  includes its own independent penalty provision exclusive of  15 United States Code section 15 ,  the treble damage provision.  (See fn. 9  ante .) The United States Supreme Court in  Nashville Milk Co . addressed  section 13a   only and not  section 13 . Similarly,  HN6 [ ]  section 17001  articulates the purpose of the Unfair Practices Act: ""The Legislature declares that the  purpose of this chapter is to safeguard the public against the  creation or perpetuation of monopolies and to foster and encourage  competition , by prohibiting unfair, dishonest, deceptive, destructive, fraudulent and discriminatory practices by which fair and  honest competition is destroyed or prevented."" (Italics added.)",
288,"People ex rel. Freitas v. City and County of San Francisco Reporter 92 Cal. App. 3d 913 *; 155 Cal. Rptr. 319 **; 1979 Cal. App. LEXIS 1732 ***; 1979-2 Trade Cas. (CCH) P62,747 Core Terms LexisNexisÂ® Headnotes",
289,Headnotes/Summary,
290,Monopolies and Restraints of Trade Â§ 6?”Under Cartwright Act?”Liability of City?”Federal Law.  Monopolies and Restraints of Trade Â§ 6?”Under Cartwright Act?”Liability of Cities.  Statutes Â§ 39?”Construction?”giving Effect to Statute?”Conformation of Parts.  Municipalities Â§ 13?”Legislative Control?”Cities as Political Subdivisions of State.  Municipalities Â§ 15?”Powers?”Police Power?”Regulation of Business and Professions?”Setting Taxicab Rates.,
291,"Opinion All counts of plaintiffs' complaint relating to defendants City and Board were decided by the trial court; therefore, the one final  judgment rule permits this appeal.  (6 Witkin, Cal. Procedure (2d ed. 1971) Pt. I, Â§ 42, p. 4057.) Summary judgment for defendants was granted as to the third cause of action; however, this decision is not being appealed.   The second, third, fourth, fifth, sixth and seventh causes of action do not run against the City or the Board and are therefore  irrelevant to this appeal. The portion of this action concerning Westgate California Corporation, Yellow Cab Company and Charles O'Connor were stayed  by pending bankruptcy proceedings; as a result of these proceedings, the action against Yellow Cab was dismissed without  prejudice.",
292,"The District Attorney filed a written brief on appeal.  Intervener adopts and joins in all arguments in District Attorney's brief. An amicus curiae brief filed on behalf of Consumers Union of United States, Inc. and the Gray Panthers of San Francisco takes  essentially the same position as plaintiffs.",
294,"The internal reasoning of  Widdows  appears to us to be inconsistent.  After determining that municipalities do not come within  the definition of ""persons,"" the court writes: ""The city . . . made no contract or agreement and entered into no conspiracy in  restraint of trade or to establish monopoly, but imposed the restraint as an act of government which the Cartwright Act did not  undertake to prohibit."" (P. 235.) Implicit in this language is the concept that a city is liable under the Cartwright Act if its actions  are not characterized as an act of government.  This is not consistent with its earlier holding that cities are not ""persons"" and are  not subject to Cartwright Act restrictions.",
295,"Plaintiffs rely on article XII, section 9, of the 1974 amendment, which reads: ""The provisions of this article restate all related  provisions of the Constitution in effect immediately prior to the effective date of this amendment and make no substantive  change.""",
298,"People v. Mobile Magic Sales, Inc. Reporter 96 Cal. App. 3d 1 *; 157 Cal. Rptr. 749 **; 1979 Cal. App. LEXIS 2034 ***; 1979-2 Trade Cas. (CCH) P62,940 Core Terms LexisNexisÂ® Headnotes",
302,Headnotes/Summary,
303,Injunctions Â§ 21?”Preliminary Injunctions?”Appeal?”Factual Matters.  Injunctions Â§ 15?”Preliminary Injunctions?”Effect and Purpose.  Injunctions Â§ 18?”Preliminary Injunctions?”Hearing and Order.,
304,"Injunctions Â§ 15?”Preliminary Injunctions?”Discretion of Trial Court.  Injunctions Â§ 21?”Preliminary Injunctions?”Appeal?”Scope of Review.  Monopolies and Restraints of Trade Â§ 6?”Under Cartwright Act ?”Applicability of Federal Decisions.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations??Tying""""  Arrangements.  Mobile Homes"," Trailers and Parks Â§ 3?”Regulation?”Injunctive Relief?”Illegal Trade Practices??""Tying""""  Arrangements."""
305,"Mobile Homes, Trailers and Parks Â§ 3?”Regulations?”Injunctive Relief?”Misrepresentation of Homesite Availability.  Mobile Homes, Trailers and Parks Â§ 3?”Regulation?”Injunctive Relief?”Unlawful Display of Models.  Injunctions Â§ 2?”Mandatory and Prohibitory Injunctions Distinguished?”Determination of Nature of Order.  Injunctions Â§ 2?”Mandatory and Prohibitory Injunctions Distinguished?”Effect of Incidental Requirement of  Affirmative Act.  Opinion",
306,"HN1 [ ] The substantial evidence rule applies to appeal court review of preliminary injunctions. Also the familiar rule requires,  when evaluating the trial court's exercise of discretion in granting a preliminary injunction, that the facts be viewed in the light  most favorable to the order.  (  San Diego Gas & Elec. Co. v. San Diego Congress of Racial Equality, 241 Cal.App.2d 405, 407  [50 Cal.Rptr. 638] .) The North County area has in recent years experienced the immigration of many new residents.  This influx has resulted in an  increased demand for housing.  The current need, coupled with inflationary pressures, has forced many new residents to seek  alternatives to conventional housing.  Thus an expanding market for mobilehomes has been an outgrowth of these forces.   Mobilehome housing, as consumer goods, is comprised of two components: mobilehomes, a moveable commodity, and  mobilehome park space, a right of use of real property.  Within a particular geographical area, these two components are  necessary compliments.",
307,"HN2 [ ] A ""tying"" arrangement is defined as: "". . . an agreement by a party to sell one product but only on the condition that the  buyer also purchases a different (or tied) product, or at least agrees that he will not purchase that product from any other  supplier."" (  Northern Pac. R. Co. v. United States, 356 U.S. 1, 5-6 [2 L.Ed.2d 545, 550, 78 S.Ct. 514] .)",
310,"While no findings of fact were made by the trial court until after it had lost jurisdiction, findings were not required before entry of  the preliminary injunction. (  Code Civ. Proc., Â§ 632 ;  Taliaferro v. Hoogs, 236 Cal.App.2d 521, 530 [46 Cal.Rptr. 147] .) Our search  is not for findings but rather for substantial evidence to support the exercise of discretion here made.  (  City & County of San  Francisco v. Evankovich, supra, 69 Cal.App.3d 41, 54 .)",
311,"Suburban Mobile Homes, Inc. v. AMFAC Communities, Inc. Reporter 159 Cal. Rptr. 255 *; 1979 Cal. App. LEXIS 2240 **; 97 Cal. App. 3d 932 Core Terms LexisNexisÂ® Headnotes",
315,"Opinion Assigned by the Chairperson of the Judicial Council. Unless otherwise indicated, all further references will be made to the Business and Professions Code of California.",
317,"HN5 [ ] United States Code,  section 1  (Sherman Act) provides in part that ""Every contract, combination in the form of trust or  otherwise, or conspiracy, in restraint of trade or commerce . . . is declared to be illegal.""  HN6 [ ]  Section 16720  of the Cartwright Act sets out in relevant part that ""A trust is a combination of capital, skill or acts by two  or more persons for any of the following purposes:  ""(a) To create or carry out restrictions in trade or commerce.  ""(b) To limit or reduce the production, or increase the price of merchandise or of any commodity.  ""(c) To prevent competition in manufacturing, making, transportation, sale or purchase of merchandise, produce or any  commodity."" (Italics added.) HN7 [ ]   Section 16726 , in turn, reads that ""Except as provided in this chapter, every trust is unlawful, against public policy and void.""  (Italics added.)",
321,"HN16 [ ]  Section 16727  reads that ""It shall be unlawful for any person to lease or make a sale or contract for the sale of  goods, merchandise, machinery, supplies, commodities for use within the State, or to fix a price charged therefor, or discount  from, or rebate upon, such price, on the condition, agreement or understanding that the lessee or purchaser thereof shall not use  or deal in the goods, merchandise, machinery, supplies, commodities, or services of a competitor or competitors of the lessor or  seller, where the effect of such lease, sale, or contract for sale or such condition, agreement or understanding may be to  substantially lessen competition or tend to create a monopoly in any line of trade or commerce in any section of the State.""  (Italics added.)",
323,Guild Wineries & Distilleries v. J. Sosnick & Sons Reporter 160 Cal. Rptr. 201 *; 1979 Cal. App. LEXIS 2498 **; 99 Cal. App. 3d 205 Core Terms LexisNexisÂ® Headnotes,
324,Opinion,
325,Assigned by the Chairperson of the Judicial Council.,
326,"The trial court gave Guild's instruction 37: ""Under the facts of this case any restrictions and limitations on territories or on  customers imposed by Guild on its distributors would not constitute a violation of the antitrust laws entitling Mr. Sosnick to  recover unless the acts were taken by Guild not as a producer or manufacturer interested in the distribution of its product, but  rather were taken to enforce an agreement or conspiracy among the competing independent wholesalers of its product to divide  the territories and customers between themselves.   ""If you find that such an agreement existed, that is an agreement between the independent wholesalers to divide the market and  to allocate the customers and that Guild, in terminating Sosnick, knowingly joined and acted as a party or acted in furtherance of  that agreement, then you must find in favor of Sosnick and against Guild on this issue.""  The court also gave Guild's instruction 36: ""I instruct you that if Guild, provided it was acting alone and not pursuant to an  unlawful conspiracy asked Sosnick to cease dealing with Lucky Stores because it wanted to service Lucky Stores and then  terminated Sosnick because he refused, an antitrust violation could not be established for that termination.""  Sosnick's proposed instructions 17 and 19 stated: ""A seller of goods has a legal right to announce to his customers that he has  established a policy prohibiting such customers from reselling the goods to a specified person or persons, and to refuse to deal  with any customer who does not follow the policy.  But it is illegal for the seller to take affirmative action, such as threatening to  stop selling to his customer, to enforce his policy.  Furthermore, the law imposes two important limitations on this right:  ""First, if a seller announces to his customer a policy which -- if accepted by the customer -- would result in an illegal horizontal  customer allocation agreement, it is illegal for the seller to go beyond a mere announcement of the policy and use other means - - such as threats of termination if the customer refuses to comply -- which effect adherence to the policy.   ""Second, it is illegal for the seller to refuse to deal with a customer, if the refusal is made pursuant to an illegal combination or  conspiracy."" (Instruction 17.)  ""If a supplier (such as Guild) having an ongoing business relationship with a distributor (such as Sosnick) requests the distributor  to enter into an agreement which would violate the Cartwright Act; if the distributor refuses to enter into the proposed illegal  agreement; if the supplier exerts pressure upon the distributor to accept the illegal agreement; and if the supplier terminates the  distributor because of the distributor's refusal to accept, then the termination itself is in violation of the Cartwright Act.""  (Instruction 19.)",
329,Dissent,
330,"A nonprice distribution restraint restricts competition among wholesale or retail distributors by, e.g., forbidding distributors from  selling from any but a designated location, assigning exclusive territories to distributors, reserving certain customers to the  manufacturer, forbidding wholesale distributors from selling to other than authorized retail outlets, or forbidding distributors from  selling to other distributors. (See Posner,  The Rule of Reason and the Economic Approach: Reflections on the Sylvania Decision   (1977) 45 U.Chi.L.Rev. 1.)",
331,"A location restriction limits a distributor's sales of a manufacturer's product to certain authorized outlets.  The manufacturer  does not assign specific territories, but as a practical matter the size of each distributor's market will be controlled and limited by  the number of authorized outlets.  (Note,  Antitrust Treatment of Intrabrand Territorial Restraints Within a Dual Distribution  System  (1978) 56 Tex.L.Rev. 1486, 1487, fn. 8.) The classic statement of the rule of reason is that of Mr. Justice Brandeis in  Chicago Board of Trade  v. United States (1918)  246 U.S. 231, 238 [62 L.Ed. 683, 687, 38 S.Ct. 242] : ""The true test of legality is whether the restraint imposed is such as merely  regulates and perhaps thereby promotes competition or whether it is such as may suppress or even destroy competition.  To  determine that question the court must ordinarily consider the facts peculiar to the business to which the restraint is applied; its  condition before and after the restraint was imposed; the nature of the restraint and its effect, actual or probable.  The history of  the restraint, the evil believed to exist, the reason for adopting the particular remedy, the purpose or end sought to be attained,  are all relevant facts.  This is not because a good intention will save an otherwise objectionable regulation or the reverse; but  because knowledge of intent may help the court to interpret facts and to predict consequences.""",
333,"""A manufacturer employing a dual distribution system markets a product through two separate and competitive channels.  The  manufacturer supplies independent retailers either directly or through its wholly-owned branch distributors. It also supplies the  product to independent distributors who resell to retailers. Consequently, the manufacturer, whether or not vertically integrated,  faces competition on two market levels.  On the production level, it competes interbrand with other manufacturers of the same  generic product; on the distribution level, it competes intrabrand with the independent distributors of its own brand.""  (Note,  Antitrust Treatment of Intrabrand Territorial Restraints Within a Dual Distribution System, supra,  56 Tex.L.Rev. 1486,  1489.) Advance Report Citation: 48 U.S.L. Week 3258.  Advance Report Citation: 48 U.S.L. Week 3258.",
335,"Guild Wineries & Distilleries v. J. Sosnick & Son Reporter 102 Cal. App. 3d 627 *; 162 Cal. Rptr. 87 **; 1980 Cal. App. LEXIS 1515 ***; 1980-1 Trade Cas. (CCH) P63,258 Core Terms LexisNexisÂ® Headnotes",
336,Headnotes/Summary,
337,Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations??Manufacturer's Imposition of Territorial Restrictions Among Distributors.  Monopolies and Restraints of Trade Â§ 6?”Under Cartwright Act?”Application of Federal Cases.  Monopolies and Restraints of Trade Â§ 4?”Sherman Act?”Refusal of Manufacturer to Deal With Distributor.  Assigned by the Chairperson of the Judicial Council.,
338,Monopolies and Restraints of Trade Â§ 4?”Sherman Act?”Division of Territories or Customers by Distributors.  Monopolies and Restraints of Trade Â§ 1?”Per Se Principles.  Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individuals?”Damages?”Mitigation.  Opinion Assigned by the Chairperson of the Judicial Council.,
339,"The trial court gave Guild's instruction No. 37: ""Under the facts of this case any restrictions and limitations on territories or on  customers imposed by Guild on its distributors would not constitute a violation of the antitrust laws entitling Mr. Sosnick to  recover unless the acts were taken by Guild not as a producer or manufacturer interested in the distribution of its product, but  rather were taken to enforce an agreement or conspiracy among the competing independent wholesalers of its product to divide  the territories and customers between themselves. ""If you find that such an agreement existed, that is an agreement between the independent wholesalers to divide the market and  to allocate the customers and that Guild, in terminating Sosnick, knowingly joined and acted as a party or acted in furtherance of  that agreement, then you must find in favor of Sosnick and against Guild on this issue.""",
340,"The court also gave Guild's instruction No. 36: ""I instruct you that if Guild, provided it was acting alone and not pursuant to an  unlawful conspiracy asked Sosnick to cease dealing with Lucky Stores because it wanted to service Lucky Stores and then  terminated Sosnick because he refused, an antitrust violation could not be established for that termination."" Sosnick's proposed instructions Nos. 17 and 19 stated: ""A seller of goods has a legal right to announce to his customers that  he has established a policy prohibiting such customers from reselling the goods to a specified person or persons, and to refuse  to deal with any customer who does not follow the policy.  But it is illegal for the seller to take affirmative action, such as  threatening to stop selling to his customer, to enforce his policy.  Furthermore, the law imposes two important limitations on this  right: ""First, if a seller announces to his customer a policy which -- if accepted by the customer -- would result in an illegal horizontal  customer allocation agreement, it is illegal for the seller to go beyond a mere announcement of the policy and use other means - - such as threats of termination if the customer refuses to comply -- which effect adherence to the policy. ""Second, it is illegal for the seller to refuse to deal with a customer, if the refusal is made pursuant to an illegal combination or  conspiracy."" (Inst. No. 17.) ""If a supplier (such as Guild) having an ongoing business relationship with a distributor (such as Sosnick) requests the distributor  to enter into an agreement which would violate the Cartwright Act; if the distributor refuses to enter into the proposed illegal  agreement; if the supplier exerts pressure upon the distributor to accept the illegal agreement; and if the supplier terminates the  distributor because of the distributor's refusal to accept, then the termination itself is in violation of the Cartwright Act."" (Inst. No.  19.)",
342,Dissent,
344,"A nonprice distribution restraint restricts competition among wholesale or retail distributors by, e.g., forbidding distributors from  selling from any but a designated location, assigning exclusive territories to distributors, reserving certain customers to the  manufacturer, forbidding wholesale distributors from selling to other than authorized retail outlets, or forbidding distributors from  selling to other distributors. (See Posner,  The Rule of Reason and the Economic Approach: Reflections on the  Sylvania  Decision   (1977) 45 U.Chi.L.Rev.  1.) A location restriction limits a distributor's sales of a manufacturer's product to certain authorized outlets.  The manufacturer  does not assign specific territories, but as a practical matter the size of each distributor's market will be controlled and limited by  the number of authorized outlets.  (Note,  Antitrust Treatment of Intrabrand Territorial Restraints Within a Dual Distribution  System  (1978) 56 Texas L.Rev. 1486, 1487 fn. 8.)",
345,"The classic statement of the rule of reason is that of Mr. Justice Brandeis in  Chicago Board of Trade v. United States (1918)  246 U.S.  231, 238 [62 L.Ed. 683, 687, 38 S.Ct. 242] : ""The true test of legality is whether the restraint imposed is such as merely  regulates and perhaps thereby promotes competition or whether it is such as may suppress or even destroy competition.  To  determine that question the court must ordinarily consider the facts peculiar to the business to which the restraint is applied; its  condition before and after the restraint was imposed; the nature of the restraint and its effect, actual or probable.  The history of  the restraint, the evil believed to exist, the reason for adopting the particular remedy, the purpose or end sought to be attained,  are all relevant facts.  This is not because a good intention will save an otherwise objectionable regulation or the reverse; but  because knowledge of intent may help the court to interpret facts and to predict consequences.""",
346,"A manufacturer employing a dual distribution system markets a product through two separate and competitive channels.  The  manufacturer supplies independent retailers either directly or through its wholly-owned branch distributors. It also supplies the  product to independent distributors who resell to retailers. Consequently, the manufacturer, whether or not vertically integrated,",
347,"faces competition on two market levels.  On the production level, it competes interbrand with other manufacturers of the same  generic product; on the distribution level, it competes intrabrand with the independent distributors of its own brand."" (Note,  Antitrust Treatment of Intrabrand Territorial Restraints Within a Dual Distribution System, supra , 56 Texas L.Rev. 1486, 1489.)",
348,"Suburban Mobile Homes, Inc. v. AMFAC Communities, Inc. Reporter 101 Cal. App. 3d 532 *; 161 Cal. Rptr. 811 **; 1980 Cal. App. LEXIS 1420 ***; 1980-1 Trade Cas. (CCH) P63,040 Core Terms LexisNexisÂ® Headnotes",
350,Headnotes/Summary,
351,"Dismissal and Nonsuit Â§ 43?”Nonsuit and Motion for Entry of Judgment ( Code Civ. Proc., Â§Â§ 581c  and  631.8 )?”When  Motion May Be Granted.  Monopolies and Restraints of Trade Â§ 5?”Actions?”Propriety of Summary Procedures.  Monopolies and Restraints of Trade Â§ 6?”Under Cartwright Act?”Applicability of Decisions Under Sherman Act.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations.  Assigned by the Chairperson of the Judicial Council.",
352,Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations?”Tying  Arrangements.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations?”Tying  Arrangements.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations?”Tying  Arrangements?”Evidence?”Sufficiency.,
353,Monopolies and Restraints of Trade Â§ 5?”Actions?”Damages.  Damages Â§ 31?”Evidence?”Weight and Sufficiency.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations?”Tying  Arrangements?”Evidence?”Market Area.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations?”Tying  Arrangements?”Evidence?”Parties Involved in Arrangement.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations?”Tying  Arrangements?”Evidence?”Coercion of Buyers.,
354,"Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations?”Tying  Arrangements?”Applicable Statutes.  Opinion Assigned by the Chairperson of the Judicial Council. Unless otherwise indicated, all further references will be made to the Business and Professions Code of California.",
356,"15 United States Code section 1  (Sherman Act) provides in part that "" Every contract, combination in the form of trust  or  otherwise, or conspiracy,  in restraint of trade or commerce . . . is  declared to be  illegal ."" Section 16720  of the Cartwright Act sets out in relevant part that  HN4 [ ] "" A trust is a combination of capital, skill or acts  by two  or more persons for any of the following purposes: ""(a)  To create or carry out restrictions in trade or commerce . ""(b) To limit or reduce the production, or increase the price of merchandise or of any commodity. ""(c)  To prevent competition in  manufacturing, making, transportation,  sale or purchase of merchandise, produce or any  commodity ."" (Italics added.) Section 16726 , in turn, reads that ""Except as provided in this chapter,  every trust is unlawful, against public policy and void .""  (Italics added.)",
360,"Section 16727  reads that ""It shall be unlawful for any person to lease or make a sale or contract for the sale of  goods,  merchandise, machinery, supplies, commodities for use within the State , or to fix a price charged therefor, or discount from, or  rebate upon, such price, on the condition, agreement or understanding that the lessee or purchaser thereof shall not use or deal  in the goods, merchandise, machinery, supplies, commodities, or services of a competitor or competitors of the lessor or seller,  where the effect of such lease, sale, or contract for sale or such condition, agreement or understanding may be to substantially  lessen competition or tend to create a monopoly in any line of trade or commerce in any section of the State."" (Italics added.)",
362,Coldwell Banker & Co. v. Department of Insurance Reporter 102 Cal. App. 3d 381 *; 162 Cal. Rptr. 487 **; 1980 Cal. App. LEXIS 1496 *** Core Terms LexisNexisÂ® Headnotes,
365,Headnotes/Summary,
366,Courts Â§ 13?”Jurisdiction?”Moot Questions?”After-judgment Events.  Appellate Review Â§ 72?”Supersedeas and Stay?”Obtaining Stay?”Stay by Order of Trial Court?”Vacating Stay??Effect.  Appellate Review Â§ 6?”Who May Appeal?”Loss or Waiver of Right?”Voluntary Compliance With Judgment.  Administrative Law Â§ 131?”Judicial Review?”Scope and Extent?”Evidence?”Substantial Evidence Rule??Administrative Mandamus.,
367,Administrative Law Â§ 131?”Judicial Review?”Scope and Extent?”Evidence?”Substantial Evidence Rule??Fundamental Vested Right.  Administrative Law Â§ 131?”Judicial Review?”Scope and Extent?”Evidence?”Substantial Evidence Rule?”Other  Errors.  Insurance Companies Â§ 2?”Organization and Regulation?”Authority of Insurance Commissioner?”Issuance of  Securities.  Insurance Companies Â§ 2?”Organization and Regulation?”Authority of Insurance Commissioner?”Regulation of  Potential Danger to Competition.,
368,Insurance Companies Â§ 2?”Organization and Regulation?”Authority of Insurance Commissioner?”Statutory Authority  to Permit Anticompetitive Practices.  Insurance Companies Â§ 2?”Organization and Regulation?”Authority of Insurance Commissioner?”Issuance of Permit  to Sell Stock and License to Do Business?”Substantial Evidence.  Insurance Companies Â§ 2?”Organization and Regulation?”Vertical Business Arrangements?”Illegality.,
